street,zipcode,city,useCode,taxAssessmentYear,taxAssessment,yearBuilt,lotSizeSqFt,finishedSqFt,bathrooms,bedrooms,amount,regionName,regionType
2933 Partridge Ave,90039,Los Angeles,MultiFamily2To4,2018,524891.0,1911,9476,2024,2.0,4,935024,Elysian Valley,neighborhood
12045 Cantara St,91605,North Hollywood,SingleFamily,2018,323064.0,1955,6514,1072,2.0,3,525921,Sun Valley,neighborhood
9037 Olin St,90034,Los Angeles,SingleFamily,2018,562492.0,1927,4997,1430,2.0,2,1280918,Beverlywood,neighborhood
1818 Wollam St,90065,Los Angeles,SingleFamily,2018,403595.0,1924,8729,1087,1.0,1,702667,Mount Washington,neighborhood
4243 W 59th St,90043,Los Angeles,SingleFamily,2018,48859.0,1939,5374,1240,1.0,3,753207,Hyde Park,neighborhood
11566 Friar St,91606,North Hollywood,Quadruplex,2018,319949.0,1944,7472,3122,4.0,8,987467,North Hollywood,neighborhood
12840 Hanover St,90049,Los Angeles,SingleFamily,2018,1.2559977E7,1991,19689,9053,8.0,6,14521927,Brentwood,neighborhood
842 Devon Ave,90024,Los Angeles,SingleFamily,2018,2488823.0,1938,15092,4147,6.0,4,4281671,Westwood,neighborhood
3101 W 79th St,90043,Los Angeles,SingleFamily,2018,612000.0,NA,6240,NA,NA,NA,602999,Hyde Park,neighborhood
2510 Elsinore St,90026,Los Angeles,SingleFamily,2018,27527.0,1911,2400,881,1.0,2,848891,Silver Lake,neighborhood
127 N Edgemont St,90004,Los Angeles,MultiFamily2To4,NA,NA,1927,5362,7544,12.0,8,3350082,Koreatown,neighborhood
7733 Hinds Ave,91605,North Hollywood,SingleFamily,2018,256911.0,1948,7018,1290,2.0,3,567622,Sun Valley,neighborhood
10738 Valley Spring Ln,91602,North Hollywood,SingleFamily,2018,559793.0,1939,6251,1040,1.0,2,874151,Studio City,neighborhood
13372 Mission Tierra Way,91344,Granada Hills,SingleFamily,2018,336556.0,1978,8311,2068,2.0,4,719606,Granada Hills,neighborhood
2616 West Blvd,90016,Los Angeles,Townhouse,NA,NA,2012,NA,750,1.0,1,616433,West Adams,neighborhood
233 N Coronado St,90026,Los Angeles,SingleFamily,2018,58550.0,1911,5999,1359,2.0,3,846633,Westlake,neighborhood
12819 Weidner St,91331,Pacoima,SingleFamily,2018,138795.0,1958,NA,NA,NA,NA,491600,Pacoima,neighborhood
9922 Anthony Pl,90210,Beverly Hills,SingleFamily,2018,8415000.0,1961,35353,3336,4.0,3,9294309,Beverly Crest,neighborhood
17754 Duncan St,91316,Encino,SingleFamily,2018,178988.0,1950,5874,1670,2.0,3,701264,Encino,neighborhood
901 S Lucerne Blvd,90019,Los Angeles,Duplex,2018,86778.0,1922,9238,2652,2.0,2,1642916,Mid City,neighborhood
2707 Granville Ave,90064,Los Angeles,SingleFamily,2018,1540000.0,1941,4991,1624,2.0,3,1251733,Mar Vista,neighborhood
7722 Cleon Ave,91352,Sun Valley,SingleFamily,2018,162737.0,1950,6748,948,1.0,2,518065,Sun Valley,neighborhood
5537 Morella Ave,91607,Valley Village,SingleFamily,2018,84627.0,1941,7836,1260,1.0,2,873561,Valley Village,neighborhood
8395 Denise Ln,91304,Canoga Park,Condominium,2018,92605.0,1969,7853,2023,3.0,4,717442,West Hills,neighborhood
2001 S Garth Ave,90034,Los Angeles,SingleFamily,2018,643149.0,NA,NA,NA,2.0,NA,931134,Crestview,neighborhood
6225 Lexington Ave,90038,Los Angeles,Quadruplex,2018,388041.0,1920,7249,2702,4.0,2,1512747,Hollywood,neighborhood
9617 Delco Ave,91311,Chatsworth,SingleFamily,2018,501000.0,1959,7200,1326,2.0,3,583275,Chatsworth,neighborhood
1256 W Vernon Ave,90037,Los Angeles,MultiFamily2To4,2018,621792.0,1940,7142,2540,3.0,4,694945,South Los Angeles,neighborhood
124 S Carmelina Ave,90049,Los Angeles,SingleFamily,2018,3226338.0,1941,9182,3635,5.0,4,4172329,Brentwood,neighborhood
5135 Fulton Ave,91423,Sherman Oaks,SingleFamily,2018,492891.0,1937,6474,2689,3.0,3,1384581,Sherman Oaks,neighborhood
5657 Saint Clair Ave,91607,Valley Village,SingleFamily,2018,414159.0,1951,8283,1509,2.0,2,928316,Valley Glen,neighborhood
3819 Midland St,90031,Los Angeles,SingleFamily,2018,187661.0,1913,2520,816,1.0,2,568389,Mount Washington,neighborhood
16355 Keeler Dr,91344,Granada Hills,SingleFamily,2018,385901.0,1965,11447,2390,3.0,4,759049,Granada Hills,neighborhood
3327 Maceo St,90065,Los Angeles,SingleFamily,2018,296137.0,1911,5604,948,1.0,2,643405,Cypress Park,neighborhood
10825 Queensland St,90034,Los Angeles,SingleFamily,2018,1696015.0,2008,6246,3168,4.5,4,2573905,Palms,neighborhood
5120 Templeton St,90032,Los Angeles,Duplex,2018,100586.0,1920,10601,2071,2.0,5,729154,El Sereno,neighborhood
1831 W 35th St,90018,Los Angeles,SingleFamily,2018,251384.0,1989,7496,1630,2.0,3,758837,South Los Angeles,neighborhood
316 E 116th St,90061,Los Angeles,SingleFamily,2018,49991.0,1927,5589,766,1.0,2,363162,Southeast Los Angeles,neighborhood
2262 Beverly Glen Pl,90077,Los Angeles,SingleFamily,2018,969000.0,1926,5792,1012,1.0,2,1567920,Beverly Glen,neighborhood
1626 W 38th Pl,90062,Los Angeles,SingleFamily,2018,586500.0,1925,5401,1500,2.0,3,649934,South Los Angeles,neighborhood
17623 Cantara St,91325,Northridge,SingleFamily,2018,65012.0,1952,6138,1116,2.0,3,568105,Lake Balboa,neighborhood
778 W 23rd St,90007,San Pedro,SingleFamily,2018,799444.0,1980,6875,2608,3.0,4,1139919,University Park,neighborhood
853 El Paso Dr,90042,Los Angeles,MultiFamily2To4,2018,386243.0,1955,6231,1510,3.0,3,880282,Mount Washington,neighborhood
1317 W G St,90744,Wilmington,SingleFamily,2018,220909.0,1941,5495,882,1.0,2,397822,Wilmington,neighborhood
1200 Saginaw St,90041,Los Angeles,SingleFamily,2018,770786.0,2009,6830,2500,4.0,4,1314835,Eagle Rock,neighborhood
16243 Nordhoff St,91343,North Hills,SingleFamily,2018,317024.0,1956,7866,1263,2.0,3,567217,North Hills,neighborhood
8431 Bardwell Ave,91402,Panorama City,SingleFamily,2018,95619.0,1950,10409,2040,2.0,3,594121,Arleta,neighborhood
23067 Ostronic Dr,91367,Woodland Hills,SingleFamily,2018,912000.0,1952,16117,2535,3.0,4,1087043,Woodland Hills,neighborhood
4169 S Van Ness Ave,90062,Los Angeles,SingleFamily,2018,152627.0,1920,5063,1200,1.0,2,551731,South Los Angeles,neighborhood
719 N Gardner St,90046,Los Angeles,SingleFamily,2018,837861.0,1923,5200,1481,2.0,3,1507231,Mid City West,neighborhood
7240 W 85th St,90045,Los Angeles,SingleFamily,2018,499855.0,1940,5242,1944,2.0,3,1309323,Playa Del Rey,neighborhood
11547 Cumpston St,91601,North Hollywood,SingleFamily,2018,288096.0,NA,NA,NA,NA,NA,803909,North Hollywood,neighborhood
9400 Valjean Ave,91343,North Hills,SingleFamily,2018,525402.0,1957,8116,1500,2.0,3,618919,North Hills,neighborhood
1675 N Beverly Glen Blvd,90077,Los Angeles,SingleFamily,2018,150991.0,1971,48142,1836,3.0,2,1547367,Beverly Glen,neighborhood
1753 W 51st St,90062,Los Angeles,MultiFamily2To4,2018,347040.0,1924,7496,1050,2.0,2,555846,South Los Angeles,neighborhood
1552 Stonewood Ct,90732,San Pedro,Condominium,2018,119534.0,1976,258059,1211,2.0,1,453477,San Pedro,neighborhood
2952 Nicada Dr,90077,Los Angeles,SingleFamily,2018,1649034.0,1978,219542,2056,2.0,3,1743156,Beverly Crest,neighborhood
3134 Sierra St,90031,Los Angeles,SingleFamily,2018,25582.0,1951,6767,696,2.0,2,557757,Montecito Heights,neighborhood
1282 Riverrock Rd,90710,Harbor City,Townhouse,2018,323855.0,2005,17763,1720,3.0,3,526812,Harbor City,neighborhood
403 E 119th St,90061,Los Angeles,SingleFamily,2018,49727.0,1962,5560,1155,2.0,3,423635,Southeast Los Angeles,neighborhood
6314 Carpenter Ave,91606,North Hollywood,SingleFamily,2018,256407.0,1939,6751,861,1.0,2,673029,North Hollywood,neighborhood
19525 Keswick St,91335,Reseda,SingleFamily,2018,287010.0,1952,7405,1379,1.0,3,545043,Reseda,neighborhood
317 W 103rd St,90003,Los Angeles,Duplex,2018,437338.0,2003,8099,2500,2.0,4,622359,Southeast Los Angeles,neighborhood
9344 Nightingale Dr,90069,Los Angeles,SingleFamily,2018,6908520.0,1961,25433,3434,5.0,4,9346090,Hollywood Hills,neighborhood
2124 W 24th St,90018,Los Angeles,SingleFamily,2018,806923.0,1923,5841,3245,3.0,4,1038124,Jefferson Park,neighborhood
5644 Ranchito Ave,91401,Van Nuys,SingleFamily,2018,456955.0,1951,8102,1307,2.0,3,835643,Valley Glen,neighborhood
537 N Orange Dr,90036,Los Angeles,MultiFamily2To4,2018,2625086.0,1927,14849,6130,1.0,2,4459786,Mid Wilshire,neighborhood
1952 Sheridan St,90033,Los Angeles,SingleFamily,2018,367200.0,1924,4382,1008,1.0,3,520244,Boyle Heights,neighborhood
6007 3rd Ave,90043,Los Angeles,SingleFamily,2018,83731.0,1923,4802,1468,2.0,3,561662,Hyde Park,neighborhood
4222 Lexington Ave,90029,Los Angeles,Duplex,2018,292114.0,1923,5249,1716,2.0,2,1008390,Hollywood,neighborhood
181 N Las Palmas Ave,90004,Los Angeles,SingleFamily,2018,952221.0,1927,13491,3758,6.0,4,3617400,Mid Wilshire,neighborhood
2220 Kerwood Ave,90064,Los Angeles,SingleFamily,2018,676511.0,1935,6958,1864,3.0,3,1923036,Century City,neighborhood
13836 Valleyheart Dr,91423,Sherman Oaks,SingleFamily,2018,250557.0,1948,7258,1571,2.0,3,1003861,Sherman Oaks,neighborhood
134 S Madison Ave,90004,Los Angeles,SingleFamily,2018,268656.0,1950,6239,1445,2.0,3,953160,Rampart Village,neighborhood
3033 Wilshire Blvd APT 1308,90010,Los Angeles,Apartment,2018,379537.0,2016,17859,1054,1.0,1,747310,Koreatown,neighborhood
5300 S Figueroa St,90037,Los Angeles,Duplex,2018,322546.0,1909,6234,2320,2.0,4,544933,South Los Angeles,neighborhood
7514 Sedgewick Ct,91304,Canoga Park,SingleFamily,2018,728318.0,1988,10624,4359,5.0,5,1171441,West Hills,neighborhood
3124 Stockbridge Ave,90032,Los Angeles,SingleFamily,2018,412369.0,1948,4798,860,1.0,2,630248,El Sereno,neighborhood
2441 N Beachwood Dr,90068,Los Angeles,SingleFamily,NA,NA,1966,5501,7824,10.0,10,3300764,Hollywood Hills,neighborhood
1941 Cyril Ave,90032,Los Angeles,MultiFamily2To4,2018,571002.0,1927,32812,3786,4.0,7,1221122,El Sereno,neighborhood
20637 Devonshire St,91311,Chatsworth,SingleFamily,2018,656000.0,1958,10800,1888,2.0,4,653556,Chatsworth,neighborhood
731 E 41st Pl,90011,Los Angeles,SingleFamily,2018,294433.0,1906,4934,995,1.0,2,390574,Southeast Los Angeles,neighborhood
5859 Wall St,90003,Los Angeles,SingleFamily,2018,252445.0,1915,5141,1008,2.0,2,389771,Southeast Los Angeles,neighborhood
12934 Venice Blvd,90066,Los Angeles,Duplex,2018,936360.0,1949,3502,1262,2.0,2,1167408,Mar Vista,neighborhood
136 S Swall Dr APT 4,90048,Los Angeles,Condominium,2018,655451.0,1981,5858,1343,2.0,2,851497,Mid City West,neighborhood
2416 Bagley Ave,90034,Los Angeles,SingleFamily,2018,2138936.0,1948,6500,3246,3.0,6,2520797,Beverlywood,neighborhood
5056 Veloz Ave,91356,Tarzana,SingleFamily,2018,1369057.0,1961,17052,4300,3.0,5,1770225,Tarzana,neighborhood
23724 Calvert St,91367,Woodland Hills,SingleFamily,2018,560060.0,1960,7346,2318,3.0,4,767690,Woodland Hills,neighborhood
14427 Sunburst St,91402,Panorama City,SingleFamily,2018,396097.0,1953,6010,1242,2.0,3,511014,Panorama City,neighborhood
8375 Stewart Ave,90045,Los Angeles,SingleFamily,2018,631019.0,1945,6014,1210,2.0,4,1160261,Westchester,neighborhood
5537 Morgan Ave,90011,Los Angeles,MultiFamily2To4,2018,188034.0,1912,4804,1556,2.0,4,457799,Southeast Los Angeles,neighborhood
8712 Sunset Plaza Ter,90069,Los Angeles,SingleFamily,2018,860792.0,1937,5919,1748,2.0,3,2088782,Hollywood Hills,neighborhood
14614 Killion St,91411,Sherman Oaks,SingleFamily,2018,761557.0,1939,6751,1734,2.0,3,938288,Sherman Oaks,neighborhood
1163 W 11th St APT 4,90731,Los angeles,Townhouse,2018,251341.0,1991,10515,1576,3.0,3,498057,San Pedro,neighborhood
4826 Mascot St,90019,Los Angeles,MultiFamily2To4,2018,1029857.0,2003,6793,4775,8.0,12,1616911,Mid City,neighborhood
5875 S Flower St,90003,Los Angeles,Triplex,2018,33557.0,1907,5312,1972,3.0,4,513698,South Los Angeles,neighborhood
4700 S Gramercy Pl,90062,Los Angeles,Duplex,2018,627595.0,1907,6500,1948,2.0,4,608155,South Los Angeles,neighborhood
14944 Otsego St,91403,Sherman Oaks,SingleFamily,2018,1527707.0,2006,6751,3853,5.5,5,1727824,Sherman Oaks,neighborhood
549 E 35th St,90011,Los Angeles,Triplex,2018,60263.0,1951,4935,1346,3.0,3,457733,Central City,neighborhood
2652 Westwood Blvd,90064,Los Angeles,SingleFamily,2018,1100000.0,1945,7405,1223,1.0,3,1367030,Cheviot Hills,neighborhood
4226 Greenbush Ave,91423,Sherman Oaks,SingleFamily,2018,523093.0,1947,5563,1433,2.0,2,1033122,Sherman Oaks,neighborhood
827 S Mansfield Ave,90036,Los Angeles,Quadruplex,2018,108763.0,1925,8457,6004,4.0,8,2170911,Mid City,neighborhood
11714 Prager Ave,91342,Sylmar,SingleFamily,2018,160625.0,1964,8218,1300,2.0,4,538832,Lakeview Terrace,neighborhood
3531 E 6th St,90023,Los Angeles,MultiFamily2To4,2018,441000.0,1918,5614,1618,3.0,4,435852,Boyle Heights,neighborhood
4014 Degnan Blvd,90008,Los Angeles,SingleFamily,2018,507575.0,1937,7501,1802,NA,3,769458,Leimert Park,neighborhood
8621 Kester Ave,91402,Panorama City,SingleFamily,2018,299113.0,1954,8999,2016,2.0,3,600599,Panorama City,neighborhood
3543 Holboro Dr,90027,Los Angeles,SingleFamily,2018,1294061.0,1956,11944,1491,1.75,2,1898262,Los Feliz,neighborhood
6401 Cimarron St,90047,Los Angeles,Duplex,2018,214450.0,1927,6040,2411,2.0,4,598785,South Los Angeles,neighborhood
4019 Bemis St,90039,Los Angeles,SingleFamily,2018,31614.0,1916,6078,1736,1.0,3,986774,Atwater Village,neighborhood
4424 Dulcinea Ct,91364,Woodland Hills,SingleFamily,2018,1363740.0,1981,20202,3871,5.0,5,1550066,Woodland Hills,neighborhood
16630 Nicklaus Dr UNIT 103,91342,Los angeles,Condominium,2018,511000.0,2007,46803,2520,3.0,3,522670,Sylmar,neighborhood
451 E 41st St,90011,Los Angeles,SingleFamily,2018,241949.0,1906,7849,1020,1.0,2,442907,Southeast Los Angeles,neighborhood
19302 Collier St,91356,Tarzana,SingleFamily,2018,581136.0,1950,12397,2921,2.0,4,1495554,Tarzana,neighborhood
9715 Melvin Ave,91324,Northridge,SingleFamily,2018,291878.0,1973,16418,3474,3.0,5,987190,Northridge,neighborhood
10424 Woodward Ave,91040,Sunland,SingleFamily,2018,576839.0,2009,5805,1970,3.0,4,768400,Sunland,neighborhood
819 Palms Blvd,90291,Venice,Duplex,2018,1292435.0,1920,5366,1726,2.0,3,2591708,Venice,neighborhood
10802 Morrison St,91601,North Hollywood,Triplex,2018,414702.0,1946,7034,2456,3.0,6,1168922,North Hollywood,neighborhood
1037 Alpine St,90012,Los Angeles,MultiFamily2To4,2018,646417.0,1900,7435,3024,NA,0,1006307,Echo Park,neighborhood
1739 Midvale Ave,90024,Los Angeles,SingleFamily,NA,NA,1952,NA,NA,1.0,2,2409930,Westwood,neighborhood
11234 Richland Ave,90064,Los Angeles,SingleFamily,2018,805437.0,1940,5135,1480,2.0,3,1601837,Cheviot Hills,neighborhood
4113 Nagle Ave,91423,Sherman Oaks,SingleFamily,2018,130398.0,1939,8807,1705,2.0,3,1476436,Sherman Oaks,neighborhood
3159 Hutchison Ave,90034,Los Angeles,SingleFamily,2018,842723.0,1936,5505,1228,1.0,2,1165561,Palms,neighborhood
7886 Truxton Ave,90045,Los Angeles,SingleFamily,2018,116551.0,1944,6581,1145,1.75,2,941871,Westchester,neighborhood
1521 W 53rd St,90062,Los Angeles,MultiFamily2To4,2018,179863.0,1923,5488,1552,3.0,0,525335,South Los Angeles,neighborhood
10770 Ayres Ave,90064,Los Angeles,SingleFamily,2018,1357482.0,1944,5599,2368,3.0,4,1935024,Cheviot Hills,neighborhood
116 S Berendo St,90004,Los Angeles,Quadruplex,2018,1214703.0,1922,8668,5716,4.0,8,1796501,Koreatown,neighborhood
19300 Miranda St,91356,Tarzana,SingleFamily,2018,888162.0,1991,4604,3181,5.0,5,1069287,Tarzana,neighborhood
10301 Melvin Ave,91326,Porter Ranch,SingleFamily,2018,770100.0,1976,16208,2594,3.0,4,918949,Northridge,neighborhood
15070 Bledsoe St,91342,Sylmar,SingleFamily,2018,419730.0,1965,7840,1490,2.0,4,543196,Sylmar,neighborhood
354 W 47th Pl,90037,Los Angeles,SingleFamily,2018,195963.0,1921,6081,1436,1.0,2,436548,Southeast Los Angeles,neighborhood
4963 Glen Iris Ave,90041,Los Angeles,SingleFamily,2018,182416.0,1922,6120,776,1.0,1,704954,Eagle Rock,neighborhood
7944 Coldwater Canyon Ave,91605,North Hollywood,SingleFamily,2018,349822.0,1954,17859,1539,2.0,3,675114,Sun Valley,neighborhood
6840 11th Ave,90043,Los Angeles,SingleFamily,2018,38517.0,1929,3792,1386,1.0,3,526867,Hyde Park,neighborhood
1839 S Cabrillo Ave,90731,San Pedro,MultiFamily2To4,2018,637500.0,1918,3253,2896,NA,0,792929,San Pedro,neighborhood
8435 Oakdale Ave,91306,Winnetka,SingleFamily,2018,376757.0,1977,5038,1628,2.0,4,603996,Winnetka,neighborhood
10403 Scoville Ave,91040,Sunland,SingleFamily,2018,375130.0,1990,4407,2168,3.0,4,763055,Sunland,neighborhood
8718 Yorktown Ave,90045,Los Angeles,SingleFamily,2018,209913.0,1942,6000,1137,1.0,2,871992,Westchester,neighborhood
19036 Chase St,91324,Northridge,SingleFamily,2018,420170.0,1956,8316,4500,2.0,3,868615,Northridge,neighborhood
331 E 108th St,90061,Los Angeles,SingleFamily,2018,150280.0,1923,5400,988,1.0,1,381508,Southeast Los Angeles,neighborhood
3400 S Carolina St,90731,San Pedro,SingleFamily,2018,56613.0,1947,5000,1017,1.0,2,556920,San Pedro,neighborhood
10976 Mckinley Ave,90059,Los Angeles,SingleFamily,2018,13298.0,1921,4801,660,1.0,2,334092,Southeast Los Angeles,neighborhood
8126 Noble Ave,91402,Panorama City,SingleFamily,2018,438311.0,1948,6534,1874,3.0,4,583395,Panorama City,neighborhood
8016 Airlane Ave,90045,Los Angeles,Duplex,2018,618419.0,1943,6154,2898,5.0,2,1652937,Westchester,neighborhood
22859 Vose St,91307,West Hills,SingleFamily,2018,321974.0,1956,7504,1557,2.0,3,646284,West Hills,neighborhood
4750 Denny Ave,91602,North Hollywood,SingleFamily,2018,888886.0,1967,6994,1550,2.0,3,979304,Toluca Lake,neighborhood
2012 Mandeville Canyon Rd,90049,Los angeles,SingleFamily,2018,2576547.0,1990,14021,6289,8.0,5,6867448,Brentwood,neighborhood
13749 Chandler Blvd,91401,Sherman Oaks,SingleFamily,2018,1785000.0,2006,9600,4198,6.0,5,1981787,Sherman Oaks,neighborhood
1582 W Vernon Ave,90062,Los Angeles,SingleFamily,2018,29035.0,1912,5873,2880,NA,NA,670986,South Los Angeles,neighborhood
2008 N Oxford Ave,90027,Los Angeles,SingleFamily,2018,546248.0,1927,8775,3552,3.0,6,2863783,Los Feliz,neighborhood
22730 Haynes St,91307,West Hills,SingleFamily,2018,316882.0,1957,7920,1661,2.0,4,710668,West Hills,neighborhood
1254 Adamite Ter,90710,Harbor City,Condominium,2018,320015.0,2005,15513,1550,4.0,4,539291,Harbor City,neighborhood
13537 Borden Ave,91342,Sylmar,SingleFamily,2018,350819.0,1954,25280,2829,3.0,4,837707,Sylmar,neighborhood
4173 Leimert Blvd,90008,Los Angeles,Quadruplex,2018,480195.0,1937,5494,3550,4.0,4,1056047,Leimert Park,neighborhood
13805 Sherman Way APT 111,91405,Van Nuys,MultiFamily5Plus,NA,NA,NA,NA,NA,2.0,2,663333,Van Nuys,neighborhood
1030 E 51st St,90011,Los Angeles,SingleFamily,2018,140993.0,1985,4453,900,2.0,3,404220,Southeast Los Angeles,neighborhood
3158 Hutton Dr,90210,Beverly Hills,SingleFamily,2018,968722.0,1977,15479,3035,2.5,3,3184048,Beverly Crest,neighborhood
6542 Kentwood Bluffs Dr,90045,Los Angeles,SingleFamily,2018,867360.0,1993,8406,3146,4.0,4,2316201,Westchester,neighborhood
6401 6th Ave,90043,Los Angeles,SingleFamily,2018,285458.0,1923,4790,1710,2.0,3,610844,Hyde Park,neighborhood
923 Ronan Ave,90744,Wilmington,SingleFamily,2018,157676.0,1923,3154,735,2.0,2,387314,Wilmington,neighborhood
10256 Parr Ave,91040,Sunland,SingleFamily,2018,253094.0,1947,6521,1402,1.0,3,626339,Sunland,neighborhood
15430 Covello St,91406,Van Nuys,SingleFamily,2018,441384.0,1992,6003,1790,3.0,3,599226,Van Nuys,neighborhood
420 N Coronado St APT 111,90026,Los Angeles,Unknown,NA,NA,NA,NA,NA,1.0,0,841926,Westlake,neighborhood
4444 Collis Ave,90032,Los Angeles,SingleFamily,2018,159141.0,1940,7513,1507,2.0,4,753542,El Sereno,neighborhood
3452 Lee St,90023,Los Angeles,SingleFamily,2018,218255.0,1908,3751,1286,1.0,3,456585,Boyle Heights,neighborhood
12365 Addison St,91607,Valley Village,SingleFamily,2018,197163.0,1938,11224,2616,5.0,4,1635651,Valley Village,neighborhood
1838 W 42nd Pl,90062,Los Angeles,SingleFamily,2018,226887.0,1915,5627,1476,1.0,3,572964,South Los Angeles,neighborhood
14340 Roblar Pl,91423,Sherman Oaks,SingleFamily,2018,524612.0,1948,8484,1564,2.0,2,1239749,Sherman Oaks,neighborhood
15161 Magnolia Blvd UNIT F,91403,Los Angeles,Condominium,2018,567195.0,1976,164175,1666,3.0,3,616662,Sherman Oaks,neighborhood
19957 Vanowen St,91306,Winnetka,SingleFamily,2018,170457.0,1948,11321,995,1.0,2,507895,Winnetka,neighborhood
7608 N Honor Way,91405,Van Nuys,SingleFamily,2018,500718.0,2016,NA,1574,3.0,4,585781,Van Nuys,neighborhood
12311 Gorham Ave,90049,Los Angeles,SingleFamily,2018,438854.0,1925,7400,2416,3.0,4,3060349,Brentwood,neighborhood
10135 Rincon Ave,91331,Pacoima,SingleFamily,2018,160586.0,1947,6721,1109,1.0,3,477782,Pacoima,neighborhood
2100 S Rimpau Blvd,90016,Los Angeles,Triplex,2018,339034.0,NA,9595,3752,4.0,7,1256104,Mid City,neighborhood
7446 Dempsey Ave,91406,Van Nuys,SingleFamily,2018,317025.0,1949,6199,1579,2.0,4,612463,Lake Balboa,neighborhood
17247 Chatsworth St,91344,Granada Hills,SingleFamily,2018,96426.0,1942,6850,1092,1.0,2,553381,Granada Hills,neighborhood
7519 Owensmouth Ave,91303,Canoga Park,SingleFamily,2018,416159.0,1950,8000,1059,1.0,3,517476,Canoga Park,neighborhood
14728 Hartsook St,91403,Sherman Oaks,SingleFamily,2018,344437.0,1932,6700,1006,2.0,1,1074225,Sherman Oaks,neighborhood
535 Washington Blvd,90292,Marina Del Rey,Duplex,2018,892861.0,1955,5456,1581,2.0,4,1699290,Venice,neighborhood
6718 Matilija Ave,91405,Van Nuys,SingleFamily,2018,512312.0,1954,6833,1706,2.0,2,702878,Valley Glen,neighborhood
1245 E 27th St,90011,Los Angeles,SingleFamily,2018,269337.0,1922,5967,1190,2.0,3,448489,Central City,neighborhood
3625 Edenhurst Ave,90039,Los Angeles,SingleFamily,2018,668100.0,1929,5201,1359,4.0,3,1159351,Atwater Village,neighborhood
4939 Renovo St,90032,Los Angeles,Quadruplex,2018,428818.0,1965,9929,3332,5.0,9,957657,El Sereno,neighborhood
801 S Grand Ave APT 1412,90017,Los Angeles,Condominium,2018,420389.0,1985,58983,1200,2.0,2,826808,Downtown,neighborhood
1352 W 36th St,90007,Los angeles,SingleFamily,2018,678083.0,1956,7069,1597,1.0,2,803316,South Los Angeles,neighborhood
14734 Hubbard St,91342,Sylmar,SingleFamily,2018,431088.0,1955,7074,1358,1.75,3,531438,Sylmar,neighborhood
5821 Denny Ave,91601,North Hollywood,SingleFamily,2018,153155.0,1940,6236,1026,1.0,3,651433,North Hollywood,neighborhood
7431 W 88th Pl,90045,Los Angeles,SingleFamily,2018,160250.0,1951,6284,1907,3.0,2,1274488,Playa Del Rey,neighborhood
3844 S Redondo Blvd,90008,Los Angeles,SingleFamily,2018,169317.0,1947,8471,1238,1.0,3,860592,Crenshaw,neighborhood
4900 Del Moreno Dr,91364,Woodland Hills,SingleFamily,2018,960940.0,1965,16634,3270,3.0,4,1302208,Woodland Hills,neighborhood
909 S Normandie Ave APT 01,90006,Los Angeles,MultiFamily2To4,NA,NA,1920,NA,NA,1.0,1,991653,Koreatown,neighborhood
531 S Westgate Ave,90049,Los Angeles,SingleFamily,2018,1940266.0,1943,6960,2600,2.0,3,2684648,Brentwood,neighborhood
17434 Vintage St,91325,Northridge,SingleFamily,2018,199023.0,1958,11134,1488,2.0,4,717141,Northridge,neighborhood
4428 Topaz St,90032,Los Angeles,SingleFamily,2018,79977.0,1917,5384,1108,1.0,2,623027,Montecito Heights,neighborhood
10545 Whitegate Ave,91040,Sunland,SingleFamily,2018,52084.0,1947,4994,983,1.0,2,501111,Sunland,neighborhood
13403 Andalusia Ln,91342,Sylmar,SingleFamily,NA,NA,2019,NA,1581,3.0,3,557656,Sylmar,neighborhood
17615 Rhoda St,91316,Encino,SingleFamily,2018,849360.0,1949,5488,2118,3.0,4,902970,Encino,neighborhood
22211 Normandie Ave,90501,Torrance,Condominium,2018,177452.0,NA,NA,NA,NA,0,658031,Harbor Gateway,neighborhood
3210 Oakshire Dr,90068,Los Angeles,SingleFamily,2018,749788.0,1936,5292,1848,2.0,2,1256008,Hollywood Hills,neighborhood
1160 E 42nd Pl,90011,Los Angeles,Duplex,2018,355849.0,1909,5102,2794,3.0,5,590855,Central City,neighborhood
1934 Palisades Dr,90272,Pacific Palisades,Condominium,2018,679908.0,1985,241653,3031,3.0,3,1545271,Pacific Palisades,neighborhood
11430 Vineland Ct,91326,Northridge,Townhouse,2018,583950.0,2002,163710,1714,3.0,3,650859,Porter Ranch,neighborhood
1944 Rosalia Rd,90027,Los Angeles,Duplex,2018,598329.0,1923,7799,2559,2.0,4,1179843,Los Feliz,neighborhood
7735 Day St,91042,Tujunga,SingleFamily,2018,321427.0,1949,5097,1164,2.0,3,568435,Tujunga,neighborhood
824 W 56th St,90037,Los Angeles,MultiFamily2To4,2018,448909.0,1910,5227,1900,3.0,5,522955,South Los Angeles,neighborhood
6711 Clybourn Ave,91606,North Hollywood,MultiFamily2To4,2018,916220.0,1944,6463,1650,2.5,3,655669,North Hollywood,neighborhood
6550 Elder St,90042,Los Angeles,SingleFamily,2018,362553.0,1905,6046,616,1.0,2,728482,Highland Park,neighborhood
6452 Gerald Ave,91406,Van Nuys,SingleFamily,2018,222861.0,1951,6504,1360,2.0,2,613224,Lake Balboa,neighborhood
2347 Lucerne Ave,90016,Los Angeles,Duplex,2018,722778.0,1923,5595,2584,2.0,4,918239,Mid City,neighborhood
